55 90 
0 1 64
0 2 58
1 3 13
1 4 27
2 4 27
2 5 97
3 6 46
3 7 23
4 7 23
4 8 73
5 8 73
5 9 29
6 10 93
6 11 86
7 11 86
7 12 12
8 12 12
8 13 67
9 13 67
9 14 91
10 15 14
10 16 3
11 16 3
11 17 16
12 17 16
12 18 7
13 18 7
13 19 3
14 19 3
14 20 24
15 21 53
15 22 69
16 22 69
16 23 14
17 23 14
17 24 19
18 24 19
18 25 48
19 25 48
19 26 59
20 26 59
20 27 46
21 28 14
21 29 79
22 29 79
22 30 55
23 30 55
23 31 38
24 31 38
24 32 69
25 32 69
25 33 44
26 33 44
26 34 16
27 34 16
27 35 19
28 36 25
28 37 10
29 37 10
29 38 58
30 38 58
30 39 67
31 39 67
31 40 14
32 40 14
32 41 32
33 41 32
33 42 28
34 42 28
34 43 9
35 43 9
35 44 7
36 45 2
36 46 74
37 46 74
37 47 65
38 47 65
38 48 83
39 48 83
39 49 27
40 49 27
40 50 16
41 50 16
41 51 22
42 51 22
42 52 77
43 52 77
43 53 59
44 53 59
44 54 10
